,헤드라인,내용,날짜,자치구,법정동
110,강동 삼익파크아파트 시공사에 대우건설,"대우건설은 서울시 강동구 길동에 위치한 삼익파크아파트 재건축정비사업의 시공사로 선정되며 올해 도시정비사업부문 수주액 5조원을 돌파, 작년 한 ...",2022.12.05,강동구,길동
111,둔촌주공 12월 5일 청약...59㎡만 중도금대출가능,서울 강동구 둔촌주공아파트 재건축으로 세워지는 올림픽파크포레온에서 입주자 모집공고를 내고 분양에 돌입했다.  둔촌주공에 따르면 12월 5일 특별 ...,2022.11.25,강동구,전체
112,"쌍용건설, 강동구 명일현대아파트 리모델링 수주",서울시 강동구 명일현대아파트 리모델링조합은 지난 19일 총회를 개최하고 쌍용건설을 시공사로 선정했다.   준공 35년(1988년)이 된 명일현대아파트는 ...,2022.11.22,강동구,전체
113,"둔촌주공 재건축 3.3㎡당 3,829만원...전용 84㎡ 13억원선","서울 강동구 둔촌주공아파트 재건축 단지의 3.3㎡당 일반분양가가 3,829만원으로 결정됐다.  정비업계에 따르면 강동구청은 분양가 상한제 심의위원회 ...",2022.11.16,강동구,전체
114,노원 월계동 500 일원 모아타운 주민설명회 개최,하반기 모아타운 대상지에 포함된 월게동 500 일원 주민들을 대상으로 사업 및 공공지원 설명회가 열렸다.   서울특별시의회 주택공간위원회 신동원  ...,2022.10.28,노원구,월계동
115,"30년 노후아파트 최다 노원구, 재건축‧재개발 신속지원 체계 구축",서울시 노원구는 30년 노후 아파트 재건축을 위한 신속지원 체계를 구축한다고 5일 밝혔다.  구에는 30년이 지난 재건축 안전진단 대상 아파트가 42개 단 ...,2022.09.05,노원구,전체
116,강동역 역세권에 최고 43층 1118세대 주상복합 건립,"서울 강동구 성내동 19-1번지 일대, 강동역 역세권에 공동주택 294가구와 오피스텔 824실 총 1118세대 규모의 주상복합이 들어선다.  서울시는 지난 2019년 ...",2022.08.20,강동구,성내동
117,서준오 서울시의원 “오세훈 시장의 즉흥적 하계5단지 재건축 결정에 주민 혼란”,"서준오 서울시의원(더불어민주당, 노원4)은 오세훈 시장의 노원구 하계5단지 고밀도 재건축 정책방향에 대해 “주민 의견수렴 등의 절차에 따라 신중히 ...",2022.08.04,노원구,전체
118,"노원구 하계5단지, 재건축 추진...용적률 435%",서울 시내 노후 임대주택단지가 재건축되어 고품질의 임대주택으로 공급될 전망이다. 첫 사례로 서울 노원구 하계5단지에 대한 재건축이 추진될 것으 ...,2022.08.02,노원구,전체
119,"월계동재건축 지역 세입자들, 방치된 쓰레기에 골머리",서울 노원구 월계동재건축정비사업 구역에 거주 중인 세입자들이 골목에 방치된 쓰레기로 조합 등과 갈등을 빚고 있다.  조합은 이주가 완료된 빌라  ...,2022.08.01,노원구,월계동
120,"DL건설, 서울 석관1-7구역 가로주택정비사업 수주",DL건설이 ‘서울 석관1-7구역 가로주택정비사업’을 수주했다. 총 공사비는 약 643억원(VAT 제외)이다. 사업을 통해 서울시 성북구 석관동 332-46번지 일원 ...,2022.07.29,성북구,석관동
121,둔촌주공 새 집행부 꾸려 공사 재개 예정,"둔촌주공 재건축 공사가 재개될 것으로 보인다.  정비업계에 따르면 전날(28일) 강동구청, 둔촌주공재건축조합, 조합 정상화위원회, 시공사업단(현대건 ...",2022.07.29,강동구,전체
122,서울 성북구 노후주거지 재개발 규제 완화,서울 성북구 저층주거단지 재개발 규제가 완화됐다.  시는 전날(22일) 제4차 도시·건축공동위원회 수권소위원회에서 성북구 성북동 지구단위계획 재 ...,2022.06.23,성북구,성북동
123,서울시-강동구청 '삼익그린2차 재개발' 운영실태 점검 예정,강동구청은 삼익그린2차아파트 재개발 조합에 대해 서울시에 실태 점검을 요청할 계획이라고 밝혔다.  삼익그린2차 조합은 조합원들과의 갈등으로 사 ...,2022.06.16,강동구,전체
124,"롯데건설, 공사비 2,656억 '서울 돈암6구역 재개발 사업' 수주",롯데건설(대표이사 하석주)이 돈암6구역 주택재개발 정비사업 시공사로 선정됐다. 조합은 지난 달 28일 서울 성북구 성북구민회관 시공자 선정 총회를  ...,2022.06.03,성북구,전체
125,서울 강동 '천호3-2구역' 신통기획 재개발 진행,"노후 저층주거지인 서울 강동구 천호동 397-419번지 일대가 '신속통합기획'을 통해 총 420세대(공공주택 77세대), 최고 23층의 아파트 단지로 변모한다. 서 ...",2022.05.25,강동구,천호동
126,둔촌주공 해법 마련되나...정부·지자체 합동점검 실시,"둔촌주공재건축 사업이 한 달 넘게 중단된 가운데, 국토교통부, 서울시, 강동구는 합동점검반을 꾸려 5월 23일부터 6월 3일까지 둔촌주공 조합 운영실태 ...",2022.05.23,강동구,전체
127,"삼익그린2차 재개발, ‘대규모 수선 안건 상정’ 변수되나",[인리넷언론인연대 취재본부 편집 김아름내 이자] 서울 강동구 명일동재건축 사업이 이루어질 ‘삼익그린2차’ 입주자대표회의가 수억 원 규모로 추산 ...,2022.05.17,강동구,명일동
128,"삼익그린2차 재건축 조합, 정비업계 전문가 초청 설명회 개최",서울 강동구 명일동 삼익그린2차 재건축 조합이 입장차를 보이고 있는 조합원들과 오해를 풀고 사업의 성공을 위한 첫 단추를 잘 꿰고 싶다는 의지를 보 ...,2022.05.07,강동구,명일동
