,Unnamed: 0,헤드라인,내용,날짜,자치구,법정동
1274,1274,"이서영 경기도의원, 단독주택 용도지역 상향 노력",1기 신도시가 준공 30년을 지나면서 노후화돼 재정비 필요성이 요구되고 있다. 1기 신도시에 위치한 단독주택도 마찬가지다.1기 신도시 단독주택 용도지 ...,2023.10.31,서울,전체
1275,1275,"경기도, 공동주택 컨설팅 사업에 '재건축' 추가",경기도는 올해 하반기 ‘공동주택 재정비 컨설팅 사업’ 유형에 재건축을 추가했다고 30일 밝혔다.도는 11월 27일까지도내 재건축 및 리모델링을 추천하 ...,2023.10.30,그외,전체
1276,1276,"연신내·쌍문·방학역 공공주택 1,451세대 건립...도심 복합개발 추진","서울 은평구 연신내, 도봉구 쌍문동, 강서구 방화동 일대 도심 공공주택 복합사업이 구체화됐다.서울시는 26일 제3차 공공주택통합심의위원회를 열고 지 ...",2023.10.27,서울,전체
1277,1277,"DL건설, 광주 동서작구역 재개발사업 수주",DL건설은21일 지방 첫 공공재개발인 ‘광주 동서작구역 재개발 정비사업’의 시공권을 확보했다고 26일 전했다. 도시정비사업 수주액 ‘1조 클럽’ 가입 ...,2023.10.27,서울,전체
1278,1278,"경기 광명시, 철산 우성·하안주공 등 재건축 정밀안전진단 추진","경기 광명시는관내 13개 노후 아파트 단지에 대한 정밀안전진단을 추진한다고 26일 전했다.광명시는지난 2022년 9월, 노후 공동주택 정밀안전진단 비용 지 ...",2023.10.26,그외,전체
1279,1279,서울 영등포 여의도 광장아파트 재건축 안전진단 통과,서울 영등포구 여의도동 38-1 광장아파트 1·2동이 재건축 정밀안전진단을 통과했다.26일 정비업계에 따르면 영등포구청은 여의도 광장아파트 1·2동에 D등 ...,2023.10.26,서울,전체
1280,1280,"서울 종로 소격동 아트선재센터, 전시공간 확보..지구단위계획 변경",서울시는 제16차 도시·건축공동위원회를 열고 종로구 소격동 144-2번지 외 1필지에 대하여 북촌 지구단위계획 결정(변경)(안)을 '수정가결'했다고 26일 밝 ...,2023.10.26,서울,전체
1281,1281,"경기 안양시, '평촌 신도시 정비' 주민 의견 수렴",경기 안양시는 평촌신도시 정비기본계획 수립을 위한 주민 설문조사를 실시한다고 25일 밝혔다.설문조사는 평촌지역 시민이 바라는 도시의 미래상과 노 ...,2023.10.25,그외,전체
1282,1282,읍·면 빈집 철거 시 도시지역과 동일하게..재산세 부담 완화,농어촌 지역의 빈집도 철거 시 도시지역과 동일하게 세부담 경감 특례를 적용한다. 그동안 도시지역에만 적용됐던 세제 혜택을 농어촌에서도 받을 수  ...,2023.10.25,서울,전체
1283,1283,"노후주택 재정비로 늘어난 물량 일반분양으로...임종국 시의원 ""임대 물량 확보해야""",서울시는 노후 임대주택 재정비사업으로 늘어난 공공주택 대부분을 일반분양할 계획인 가운데 임대물량을 늘려야 한다는 주장이 나왔다.서울시의회 임 ...,2023.10.25,서울,전체
